file,scan_idx,precision,recall,f1,iou,dice
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,0,0.0,0.0,0.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,1,0.0,0.0,0.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,2,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,3,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,4,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,5,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,6,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,7,0.0,0.0,0.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,8,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,9,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,10,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,11,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,12,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,13,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,14,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,15,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,16,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,17,0.0,0.0,0.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,18,0.0,0.0,0.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,19,0.0,0.0,0.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,20,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,21,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,22,0.0,0.0,0.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,23,0.0,0.0,0.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,24,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,25,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,26,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,27,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,28,1.0,1.0,1.0,0.0,0.0
GPM_2ADPR.07ː2A.GPM.DPR.V9-20211125.20180105-S083313-E100547.021900.V07A.HDF5,29,1.0,1.0,1.0,0.0,0.0
